epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.5723,2.11059,4.47202,2.2044,0.00143,0.42857,0.14963,0.05096,3.08425,4.52296,2.9994,0.00034,0.00034,0.00034
2,147.406,1.20055,2.92808,1.36404,0.00314,0.94286,0.11611,0.05587,1.70596,3.67039,2.13331,0.0006307,0.0006307,0.0006307
